pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,15,63,46,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,16,64,5,1,1.6,1.237,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,17,65,26,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,18,66,47,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,19,67,1,1,1.6,1.139,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,20,68,24,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,21,69,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,22,70,4,1,1.6,1.403,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,23,71,3,1,1.6,1.072,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,24,72,14,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,25,73,21,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,1,26,74,32,1,1.3,1.639,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,27,75,19,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,1,28,76,7,1,1.6,1.227,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,29,77,25,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,30,78,16,1,1.2,,,,,,,,,,,
